,ENGL 202,•  ENGL 202 - Great Detectives and Plots of Detection
,ENGL 208,•  ENGL 208 - Literary Publishing
,ENGL 210,•  ENGL 210 - Film Studies
,ENGL 212,•  ENGL 212 - Introduction to Literary Theory
,ENGL 220,•  ENGL 220 - Eighteenth-Century British Literature
,ENGL 224,•  ENGL 224 - Video Games: Coding and Narrative
,ENGL 225,•  ENGL 225 - Musical Fictions
,ENGL 230,•  ENGL 230 - Nineteenth-Century British Literature
,ENGL 235,•  ENGL 235 - A Kafkaesque Century
,ENGL 240,•  ENGL 240 - Twentieth Century British Literature
,ENGL 245,•  ENGL 245 - Nabokov
,ENGL 260,•  ENGL 260 - Science Fiction: From Matrix Baby Cannibals to Brave New Worlds
,ENGL 262,•  ENGL 262 - Studies in Literature and the Natural World
,ENGL 263,•  ENGL 263 - Muslim Women Writers
,ENGL 265,•  ENGL 265 - Literature and Human Rights
,ENGL 272,•  ENGL 272 - Love and Madness in Nineteenth Century American Literature
,ENGL 273,•  ENGL 273 - American Literature 1900-1945
,ENGL 274,•  ENGL 274 - American Literature 1945-Present
,ENGL 275,•  ENGL 275 - African American Literature to 1900
,ENGL 276,•  ENGL 276 - African American Literature 1900 to Present
,ENGL 277,•  ENGL 277 - Angels and Demons of the American Renaissance (1835-1880)
,ENGL 280,•  ENGL 280 - Crafts of Writing: Poetry
,ENGL 281,•  ENGL 281 - Crafts of Writing: Fiction
,ENGL 282,•  ENGL 282 - The Crafts of Writing: Creative Nonfiction
,ENGL 284,•  ENGL 284 - The Crafts of Writing: Screenwriting
,ENGL 285,•  ENGL 285 - Playwriting
,ENGL 286,•  ENGL 286 - Narrative Journalism
,ENGL 294,•  ENGL 294 - Topics Course
